变量名,_beizhu,npc,gymID,hardDegree,weight,deployType,deployNatureLimit,deployCardNumLimit,deployNum,lastJump,historyJump,_beizhu1,weatherDesc,weatherDesc_tw,weatherDesc_en,weatherDesc_vn,weatherDesc_kr,palce,palce_tw,palce_en,palce_vn,palce_kr,placeDesc,placeDesc_tw,placeDesc_en,placeDesc_vn,placeDesc_kr,specialEff,specialEffDesc,specialEffDesc_tw,specialEffDesc_en,specialEffDesc_vn,specialEffDesc_kr
默认值,,FALSE,,,0,1,<>,6,1,0,0,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<>,"""""","""""","""""","""""",""""""
ID,备注,是否NPC,道馆ID,难度(NPC不配),权重(NPC不配),上阵类型 1=常规 2=单挑 3=车轮,上阵限制属性(NPC不配),上阵限制数量,上阵队伍数量（只对车轮）,上次记录可跳过,历史记录可跳过,是否配置完,天气描述,天气描述,天气描述,天气描述,天气描述,场地,场地,场地,场地,场地,场地描述,场地描述,场地描述,场地描述,场地描述,specialEff<<<nauture;nauture>;属性;+/-;val>>,特殊效果描述补充,特殊效果描述补充,特殊效果描述补充,特殊效果描述补充,特殊效果描述补充
80001,岩石送分,,1,1,1,1,,,,,,1,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),404,"[????] (?? ?? ??? ?? ??? ??, ? ??? ?? ?? ?? ??? ??? ???? ?? ??? [??] ??? ??)",,,,,,,,,,,<<<13>;1;0;5%>;<<13>;9;0;50%>>,,,,,
80002,地面送分,,1,1,1,1,,,,,,2,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),404,"[????] (?? ?? ??? ?? ??? ??, ? ??? ?? ?? ?? ??? ??? ???? ?? ??? [??] ??? ??)",,,,,,,,,,,<<<9>;1;0;5%>;<<9>;9;0;5%>>,,,,,
80003,大岩蛇小拳石,,1,1,1,1,,,,,,5,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),404,"[????] (?? ?? ??? ?? ??? ??, ? ??? ?? ?? ?? ??? ??? ???? ?? ??? [??] ??? ??)",,,,,,,,,,,<<<13>;1;0;5%>;<<13>;9;0;10%>>,,,,,
80004,,,1,1,0,,,,,,,,所有非冰系精灵每个大回合结束时受到一定冰元素伤害，并有10%概率【冰冻】2回合,所有非冰系精靈每個大回合結束時受到一定冰元素傷害，並有10%概率【冰凍】2回合,"All non-Ice type Pokémon suffer a certain amount of Ice damage at the end of each round, and have 10% chance to be in [Frozen] for 2 rounds",404,?? ?? ?? ??? ??? ???? ??? ?? ?? ??? ?? 1%? ??? 2? ? [??] ??? ??,,,,,,,,,,,,,,,,
80005,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80006,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80011,岩杂,,1,2,1,1,,,,,,1,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),404,"[????] (?? ?? ??? ?? ??? ??, ? ??? ?? ?? ?? ??? ??? ???? ?? ??? [??] ??? ??)",,,,,,,,,,,<<<9;13>;1;0;6%>;<<9;13>;17;0;500>>,,,,,
80012,打地鼠,,1,2,1,1,,,,,,3,,,,,,,,,,,,,,,,<<<9>;1;0;6%>;<<9>;14;0;1000>>,\n#L10#地鼠比较怕生，人多了不太敢出来#L0#,\n#L10#地鼠比較怕生，人多了不太敢出來#L0#,\n#L10# Diglett are scared of too many people and don’t dare to come out#L0#,404,\n#L10#???? ?? ??? ??? ?? ? ? ? ??? #L0#
80013,嘎啦嘎啦,,1,2,1,1,,,,,,12,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),404,"[????] (?? ?? ??? ?? ??? ??, ? ??? ?? ?? ?? ??? ??? ???? ?? ??? [??] ??? ??)",,,,,,,,,,,<<<9>;1;0;6%>;<<9>;7;0;10%>;<<9>;9;0;30%>>,,,,,
80014,,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80015,,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80016,,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80021,6岩柱子,,1,3,1,1,,,,,,1,,,,,,,,,,,,,,,,<<<13>;1;0;7%>;<<13>;27;0;500>>,,,,,
80022,,,1,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
80023,6岩斗士,,1,3,1,1,,,,,,10,,,,,,,,,,,,,,,,<<<13>;24;0;10000>>,\n牛气冲天！！！,\n牛氣沖天！！！,\n Bullish! ！！,,
80024,,,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80025,,,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80026,,,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80031,地面系主阵容,,1,4,1,1,,,,2,,1,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),404,"[????] (?? ?? ??? ?? ??? ??, ? ??? ?? ?? ?? ??? ??? ???? ?? ??? [??] ??? ??)",,,,,,,,,,,<<<9;13>;1;0;8%>;<<9;13>;14;0;500>>,,,,,
80032,可多拉+犀牛,,1,4,1,1,,,,2,,6,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),404,"[????] (?? ?? ??? ?? ??? ??, ? ??? ?? ?? ?? ??? ??? ???? ?? ??? [??] ??? ??)",,,,,,,,,,,<<<13>;1;0;8%>;<<13>;9;0;20%>>,,,,,
80033,6大钢蛇,,1,4,1,1,,,,2,,5,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),404,"[????] (?? ?? ??? ?? ??? ??, ? ??? ?? ?? ?? ??? ??? ???? ?? ??? [??] ??? ??)",,,,,,,,,,,<<<13;9>;1;0;8%>;<<13;9>;17;0;1000>>,,,,,
80034,,,1,4,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
80035,,,1,4,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
80036,,,1,4,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
80041,班基拉+固拉多,,1,5,1,1,,,,3,2,1,【沙暴】（岩石系精灵物防提升，所有非地面和岩石精灵每个大回合结束时有几率被【致盲】）,【沙暴】（巖石系精靈物防提升，所有非地面和巖石精靈每個大回合結束時有幾率被【致盲】）,[Sandstorm] (Increase P.DEF of Rock type Pokémon. All non-ground and rock Pokémon have chance to be [Blinded] at the end of each round),404,"[????] (?? ?? ??? ?? ??? ??, ? ??? ?? ?? ?? ??? ??? ???? ?? ??? [??] ??? ??)",,,,,,,,,,,<<<9;13>;1;0;10%>;<<9>;23;0;1000>;<<10>;22;0;6000>>,,,,,
